name;locale
Medicina;es
Veterinaria;es
Enfermería y atención a enfermos;es
Otras ciencias de la Salud;es
Periodismo e información;es
Deportes;es
Técnicas audiovis. y medios de comunicación;es
Ingeniería Civil y Geomática;es
Ingeniería Química;es
Ingeniería de Telecomunicaciones;es
Ingeniería en Comunicación e Información (Telecomunicación y Electrónica);es
Ingeniería Informática;es
Ingeniería Naval;es
Ingeniería Agroforestal o Medioambiental;es
Ingeniería Industrial o en Técnicas Industriales;es
Ciencias Físicas, Químicas, o Geológicas;es
Derecho;es
Psicología;es
Matemáticas y Estadística;es
Lenguas;es
Arquitectura y construcción;es
Economía;es
Artes;es
Otras Ciencias sociales y del comportamiento;es
Otra Educación comercial y empresarial;es
Otros Servicios;es
Administración y Dirección de empresas;es
Formación de docentes de enseñanza primaria;es
Informática;es
Formación de docentes de enseñanza infantil;es
Humanidades o Filosofía;es
Otra Form. personal docente y cc. educación;es
Turismo y Hostelería;es
Trabajo social y orientación;es
Agricultura, ganadería y pesca;es
Arqueología;es
Odontología;es
Biología;es
Bioquímica;es
Criminología;es
Ciencias Políticas y/o de la Administración;es
Historia;es
Publicidad;es
