name,locale
16 mm film,en
35 mm film,en
3D modelling,en
4-thread overlock sewing machine,en
7QC (The Seven Quality Control Tools),en
7QM (The Seven Quality Management Tools),en
A-13 (method for window renovation),en
ABC medical protocol,en
ABC protection studies,en
Absorption spectrophotometry (IR),en
Absorption spectrophotometry (UV-visible),en
A cappella singing,en
Acceptance of orders,en
Accept constructive criticism,en
Access control systems,en
Access control systems (installation),en
Access nets (installation and maintenance),en
Accommodation agency,en
Accompaniment,en
Accordion (teaching),en
Accordion playing,en
Accordions (repairing),en
Accordion tuning,en
Account coding,en
Accounting / auditing,en
Accounting (adult education),en
Accounting responsibility,en
Accumulator management,en
A-check (flight maintenance),en
Acoustical performance,en
Acoustic insulation,en
Acrylic plastic (fitting),en
Acrylics (dentistry),en
ACT!,en
Acting,en
ActionScript,en
Active Server Pages (ASP),en
Active X,en
Activities of daily living (providing training to patients),en
Actuarial mathematics,en
Actuarial science,en
Actuate e.Report,en
Acupuncture,en
Ada (programming language),en
Adaptable DAta BAse System (ADABAS),en
Adapt implementation strategy,en
Adapt to changes,en
Addiction problems (knowledge),en
Administering nitrous oxide,en
Administration (teaching),en
Administration in bankruptcy,en
Administration of wages,en
Administrative law,en
Administrative law (teaching),en
Adobe After Effects (video editing),en
Adobe Audition,en
Adobe Authorware,en
Adobe Bridge,en
Adobe ColdFusion,en
Adobe Contribute,en
Adobe Flash Builder,en
Adobe FrameMaker,en
Adobe Freehand,en
Adobe ImageReady,en
Adobe PageMaker,en
Adobe PageMill,en
Adobe Photoshop,en
Adobe Premiere Pro,en
Adolescent psychology,en
Adoption permission,en
ADR (explosives),en
ADR (radioactive goods),en
ADR (tank transport),en
ADR inspection,en
Adult education (teaching),en
Adult education guidance,en
Adult pedagogy (teaching),en
Adult psychiatry care,en
Adult rehabilitation,en
Advanced Business Application Programming (ABAP),en
Advertisement booking,en
Advertisement production (design),en
Advertisement production (wording),en
Advertisement reception,en
Advertising drawing,en
Advertising photography modelling,en
Advertising services,en
Aerial photography,en
Aerobatics,en
Aerobics (training/coaching),en
Aesthetics,en
Aesthetics/art and design (teaching),en
Aesthetics/dancing and theatre (teaching),en
Aesthetics/music (teaching),en
Aesthetics (teaching),en
African archaeology,en
African dancing,en
African dancing (teaching),en
Afro-American music (teaching),en
Agilent VEE,en
Agility,en
Agricultural animals (veterinary medicine),en
Agricultural economics,en
Agricultural science,en
Agriculture,en
Agriculture, forestry and fishery,en
Aids services for persons with special needs (functional impairment),en
Air compressor (maintenance),en
Air conditioning system (maintenance),en
Aircraft assembly,en
Aircraft cleaning,en
Aircraft electronics,en
Aircraft engineering,en
Aircraft loading,en
Aircraft sheet-metal plating,en
Aircraft technology,en
Aircraft technology (teaching),en
Air decontamination,en
Air force conscript (providing training),en
Air freight,en
Air law,en
Airport management,en
Airport supervising (teaching),en
Air treatment,en
Ã€ la carte cooking,en
Alarm and safety products,en
Alarm installation,en
Alarm operation,en
Alias PowerAnimator,en
Allergic diseases,en
Allotment gardening,en
Alloy technology,en
All-round (construction),en
Alphabetic data recording,en
Alto saxophone playing,en
Alto viola playing,en
Alto voice,en
Aluminium,en
Amadeus (travel reservation system),en
Ambulance care (nursing),en
American football (training/coaching),en
Ammonia refrigerating,en
Ammunitions knowledge,en
Ammunition work,en
Amperometry,en
AMPS system,en
Anaesthesiology (medico-technical engineering),en
Anaesthesiology (teaching),en
Anaesthetics and intensive care,en
Analogue design,en
Analogue electronics,en
Analogue video camera technology,en
Analyse the problem,en
Analysis technology,en
Analytical chemistry,en
Analytical chemistry (teaching),en
Anatomy (teaching),en
Ancient archaeology,en
Ancient Greek (teaching),en
Ancient history (teaching),en
Ancient monument records,en
Ancient monuments inventory,en
Angling (training/coaching),en
Animal experiment methods,en
Animal hospital,en
Animal husbandry (farming),en
Animal husbandry (providing training),en
Animal protection,en
Animal transport,en
Animation,en
Animation (architecture),en
Animation (artistic),en
Animation (film),en
Animation (multimedia),en
Annealing,en
Announcing (radio),en
Announcing (TV),en
Annual accounts (public company),en
Annual accounts audit,en
ANSYS (CAE software),en
Antenna design,en
Antennas installation,en
Anthropology,en
Anticipate needs,en
Antique valuation,en
Antiquing,en
Apache web server,en
Aphasia care,en
Aphasia treatment,en
APL (programming language),en
Appeals court service,en
Apple-script (programming language),en
AppleTalk (communications protocol),en
Application of knowledge,en
Application-specific Integrated Circuit (ASIC),en
Applications programming,en
Applied mathematics (teaching),en
Applied physics (teaching),en
Applied statistics,en
AppliquÃ© (textiles),en
Apply mathematical concepts to work tasks,en
Apply mathematical method,en
Apply quality standards,en
Aptitude testing (recruitment),en
Aquarium fish,en
Arabic language teaching,en
ARCAD (architectural CAD software),en
Archaeology,en
Archaeology (teaching),en
Archery (training/coaching),en
ArchiCAD,en
Archipelago boat,en
Architectural models,en
Architecture and building,en
Archival science,en
Archiving,en
Area responsibility (care of persons with learning difficulties),en
Area responsibility (childcare programme),en
Area responsibility (correctional care),en
Area responsibility (cultural issues),en
Area responsibility (customs issues),en
Area responsibility (dental services),en
Area responsibility (educational issues),en
Area responsibility (embassy activities),en
Area responsibility (farming),en
Area responsibility (forestry),en
Area responsibility (geriatric care),en
Area responsibility (healthcare issues),en
Area responsibility (housing and building issues),en
Area responsibility (impaired persons' welfare),en
Area responsibility (labour market issues),en
Area responsibility (nature conservation),en
Area responsibility (policing issues),en
Area responsibility (recreational activities),en
Area responsibility (rescue service),en
Area responsibility (roads and traffic issues),en
Area responsibility (shipping),en
Area responsibility (social insurance issues),en
Area responsibility (social work),en
Area responsibility (surveying),en
Area responsibility (tax issues),en
Area responsibility (tourism),en
Area responsibility (welfare of persons with learning difficulties),en
Argue cases,en
Ariba,en
ARIS Platform,en
Army conscript (providing training),en
Art (teaching),en
Art casting,en
Art evaluation,en
Artificial intelligence (teaching),en
Artificial limb manufacture (orthopaedic engineering),en
Artificial music (instrumental performance),en
Artificial music (vocal performance),en
Artificial stone casting,en
Artistic founding,en
Artistic installations,en
Artistic metal-work,en
Artistic painting (teaching),en
Artists' booking agency,en
Art metal work,en
Arts,en
